DEPT_ID		DEP_NAME	MANAGER_ID	LOC_ID
0		31/12/1965	Barley   	Alberta  
1		31/12/1965	Barley   	Canada   
10		31/12/1965	Wheat    	Canada   
100		31/12/1973	Canola   	Canada   
1000		4/1/2021	1.2751	
1001		5/1/2021	1.2707	
1002		6/1/2021	1.2685	
1003		7/1/2021	1.2707	
1004		8/1/2021	1.2705	
1005		11/1/2021	1.2788	
1006		12/1/2021	1.2746	
1007		13/1/2021	1.271	
1008		14/1/2021	1.2654	
1009		15/1/2021	1.2727	
101		31/12/1973	Canola   	Saskatche
1010		18/1/2021	1.2762	
1011		19/1/2021	1.2735	
1012		20/1/2021	1.2656	
1013		21/1/2021	1.2627	
1014		22/1/2021	1.2716	
1015		25/1/2021	1.2738	
1016		26/1/2021	1.2702	
1017		27/1/2021	1.2775	
1018		28/1/2021	1.281	
1019		29/1/2021	1.278	
102		31/12/1973	Rye      	Alberta  
1020		1/2/2021	1.2824	
1021		2/2/2021	1.2818	
1022		3/2/2021	1.2783	
1023		4/2/2021	1.2828	
1024		5/2/2021	1.2777	
1025		8/2/2021	1.2753	
1026		9/2/2021	1.2719	
1027		10/2/2021	1.2689	
1028		11/2/2021	1.2686	
1029		12/2/2021	1.2711	
103		31/12/1973	Rye      	Canada   
1030		16/2/2021	1.2684	
1031		17/2/2021	1.2712	
1032		18/2/2021	1.2696	
104		31/12/1973	Rye      	Saskatche
105		31/12/1973	Wheat    	Alberta  
106		31/12/1973	Wheat    	Canada   
107		31/12/1973	Wheat    	Saskatche
108		31/12/1974	Barley   	Alberta  
109		31/12/1965	Wheat    	Saskatche
110		31/12/1974	Barley   	Saskatche
111		31/12/1974	Canola   	Alberta  
112		31/12/1974	Canola   	Canada   
113		31/12/1974	Canola   	Saskatche
114		31/12/1974	Rye      	Alberta  
115		31/12/1974	Rye      	Canada   
116		31/12/1974	Rye      	Saskatche
117		31/12/1974	Wheat    	Alberta  
118		31/12/1974	Wheat    	Canada   
119		31/12/1974	Wheat    	Saskatche
12		31/12/1966	Barley   	Alberta  
120		31/12/1975	Barley   	Alberta  
121		31/12/1975	Barley   	Canada   
122		31/12/1975	Barley   	Saskatche
